hashedid,w7_started,w7_complete,w7_starttime,w7_derived_starttime,w7_endtime,w7_derived_endtime
6d1a79c6020cef43671e2464de3108e5ad608518f94bab90ab292d8cade125e3ba7c69553f49a2c9e379ad58da7f61fd6ea0be469931bd528491d86b3242e19e,False,False,,0.0,,0.0
8fcedb8531c4fa3334e2110196be7d43300c13359e463a5fd9f1a6854b9802c2ed2f08da905a77f46bc9e6cc84353437d37f2248105505a2e77325ea701d844c,False,False,,0.0,,0.0
d4cacfbac5d52b4ce906783a1f093fe9632ec9f470e618502f8cf7d585690b259db6079403969302e94176ff8d24c353df207d8dc1d8f841a3d55bac5e25f043,True,True,138.64930795055557,138.64930795055557,65.0578907663889,65.0578907663889
4a5ac2c5ea39f95a74e302c2e6f2124e74e9b1485ed8e4e3525bc5c0b467be3ad7f6612e847eaed01e4a2e5be3055b4f6b92a285e472b61d25d348964c38a16f,True,False,4.669092589722222,4.669092589722222,4.323136994444445,4.323136994444445
8eb702111908b9aee5711f51f3cac9b404abc8f583b3d215bf4a88014d37f339f63147e631e4cf147e3e4300864330773860908347dbc25b6883d664dad0ec6b,True,False,97.47604862194444,97.47604862194444,2.190253240277778,2.190253240277778
edf0dbaa588e0b366d63a8adb8dacb6a6b1bd0a1749b566e0b640d13a8f4f1cbd8be622a9a7b9faf67c63dc030e0d60aca829bdfcce07748d51443a6132b8cb4,True,True,29.530239908888888,29.530239908888888,18.640182940833334,18.640182940833334
dfd7822777a84d36a0e52b6a72b73a42220428e97987cd98684090e495ef8383c9ec63fea8141f9fa44d2402c18dbfc1400ead3a911a55158795364c88dfdbb7,True,False,67.87391437611112,67.87391437611112,12.884257666388889,12.884257666388889
1ca0a15da130613155f3b05e8ede28140f95cff2114d1f85c22e24d98a507d393f7b79d3b0034e196f99ef35d8f868117bae3a6776da85945b78a88974e29da7,False,False,,0.0,,0.0
b6d1b8315d2180e63cc3b0aa1c26531d68030d66c2189de9ab1467610302bc0a8283e4a87e5a6754c7d03e5ace2a8b4a46b37f26a1a67b5c014ea560d901dbbf,True,True,138.42305232333334,138.42305232333334,137.465524285,137.465524285
eecaaaaf1a165cb897fc3bb9e677efefadd1880ca4329528ecf663900665b11a5e4849509c3e275dabe253b00876995d29635c90af31e76c425a09413ff3bd5d,True,True,77.60673865444444,77.60673865444444,77.23825794222222,77.23825794222222
f8317730ae25d916de77c37d8aa718c32fb86aef397ccbec8ab7c1ab7aca6e182e5d1aec9e87eb03153f89b51472d1423f691bf739f099f96431ff508a84dd15,True,True,69.20992407972223,69.20992407972223,1.0820700911111112,1.0820700911111112
8c0a283e912dce71076938401d617bea1627ba45d6f0a5cc18236ccf31edae9d1f37f70e45506ee2418c014f1dc332a45c58add9e0c0d4abdeb81fe4eee04d9b,True,False,113.24203055638888,113.24203055638888,112.61873301,112.61873301
fb7b747e913c6b6228338078c919d0184f16fbc4a107457ece27f01e68200604c210bb49a76f2d6ee7b32f58bb36eacaa57580ae8632d148f512ab61f226e28b,True,False,51.63015357305556,51.63015357305556,51.127123055,51.127123055
3f159072f3fd6eceb24762f7808c26f0aa8cf0c42ef0b2027171191000d00fcd8707437a6e5733a926df17501b9793359322b041062ffb847c6f0750e56bb5c1,True,False,24.173378908055554,24.173378908055554,18.12964075361111,18.12964075361111
f0e673cc65368b1f8ba556c8f79fedd3c1d95db0f47b8c9527b31f06b074f13ba8d702dc76c8c74cda8d4689119541d2eed301481ab5d083854a5dbc7277e81f,True,True,31.528461525277777,31.528461525277777,5.103596451944444,5.103596451944444
105c6c1fcced7e8e2edaf2b439590c6bfa472fde6bcf8a5da310d14930e455f408aea39a37ed9991b416c14347431060dec4ed7e49a17a6ed67e42b756b2aafe,False,False,,0.0,,0.0
ede347e8027d924485175f5da6af59d83740aed4135874611427712f16b8c51c5b1940499a6c8af42d2fe7538a0ce9d7018f381c45b26366da3a69842878f9be,False,False,,0.0,,0.0
36e15ff3ed43387b564e4091e4aef3b6491a2c87a4ca7a7a91e833ad014fb8469a09bf566453a87c07b52af79439f8fe383171d978d5fb0f3d28d8a4da7b3539,True,True,21.449369106944445,21.449369106944445,20.96314450722222,20.96314450722222
f7a6fadafa48c67da7e028657588ec7d0e984ba87b68b98249359ff38841e084e0915566735541af32e2ccec8340daca0a62716dd96659c4ac2c023b74b93730,True,True,125.61353515333333,125.61353515333333,123.66232401055555,123.66232401055555
e3887dc8eddd80b26989a4b21770bf8db5cef296e9aa6a3253caf2c7e1c11a5f62d0f4ffb16e50ea1d6094348e04f02e170bba3c1e7d3c07f6af891e42f1f2b1,True,True,2.0966403175,2.0966403175,0.7749594494444444,0.7749594494444444
7e036e0e12a2e6f899fc3f267d9096e636476aea949ce83367b7fe9abb6a85956f6d5ec92680502db0cac8b8b1e8b3faf35ac15e78de7881d4bffae197ea181c,True,False,18.469551835833332,18.469551835833332,18.46691132861111,18.46691132861111
